1262,266,-100,-514,-115,-30,1506,-74,-52,-911,-108,-48
1224,292,-80,-549,68,1,-366,-74,-136,-887,15,-38
1234,220,-50,-569,-83,-14,1496,-42,-200,-948,-235,4
1244,304,-68,-479,-123,-27,1490,-74,-152,-495,-256,-32
1244,220,-44,-525,7,25,1490,-60,-216,-924,4,32
1140,248,-56,-560,-73,19,-236,-56,-184,-1008,-256,1
1196,300,-68,-465,-155,-7,-294,14,-80,-508,-175,0
1288,234,12,-475,-377,31,1552,32,-80,-504,-381,17
1226,254,-14,-407,-123,129,-238,-74,-152,-408,8,144
1254,288,-370,-112,-704,242,46,-586,360,-120,1060,2
1404,218,-126,173,-1110,576,1630,158,-200,134,0,16
1474,-86,-38,802,-982,1073,1714,-248,-214,256,2060,44
1288,-382,-8,1217,-1149,1546,1378,-580,-152,260,2816,1556
970,-50,-130,1659,-1471,1575,1042,-34,40,8,4613,512
222,-8,-1242,1515,198,1182,5586,-138,-208,45,0,176
156,-146,-1556,3112,-4201,1193,-542,-506,-216,2144,10404,180
222,824,-1534,2928,-4436,1009,502,442,-212,544,11410,704
44,216,-1934,2794,-7242,739,0,182,-1944,2304,8900,640
970,502,-1702,2797,-9667,583,314,-6710,-1752,2066,522,41
1538,252,-1592,1997,-9601,233,1712,-6730,-1744,8,136,129
1348,256,-2100,2037,-9426,249,1586,-74,-2104,8,258,163
874,486,-2138,2844,-10425,287,-494,-358,-2262,512,272,296
746,1100,-2476,3008,-9861,52,-1452,-530,-2260,3013,40,136
1434,-256,-2176,3644,-9979,-804,1562,-178,-1972,599,320,64
2062,1004,54,2242,-8424,-1464,1778,664,-184,40,582,596
1630,792,-2486,3852,-12470,-1082,1834,886,-4296,2052,2305,-1480
2404,870,-3144,4463,-9383,-1902,2594,774,-3186,258,2050,-1963
2376,496,-2588,5358,-10691,-1969,2514,438,-2616,1028,1592,-2046
2356,410,-2046,5914,-9691,-1682,2578,-182,-4020,1540,80,-1776
2134,918,-1346,5723,-8789,-911,2004,456,-2198,1344,528,-2019
2020,318,-1114,5075,-9219,-307,1788,214,-1240,462,4992,-255
2110,326,-1780,5439,-10731,260,2330,-6570,-3730,1320,1538,0
1920,2092,-1590,5010,-11880,566,1522,-6730,-4052,512,168,580
1308,1120,-2766,4706,-10986,521,1506,1030,-2584,514,1296,513
1772,850,-2854,4160,-9588,714,1512,470,-4304,2705,4608,718
1854,336,-3024,3553,-11848,1152,2108,-450,-184,2048,275,1056
1488,590,-3116,3778,-12368,1363,1514,632,-78,520,2600,261
1646,220,-2654,3982,-11961,350,1814,-66,-3798,1024,4112,289
1330,692,-2396,4435,-10859,-382,-482,572,-4310,264,5328,-1467
1146,758,-2430,3890,-10631,-627,-1642,474,-2840,2754,130,-984
1164,286,-2366,3896,-10035,-811,-942,-6440,-4008,2388,6288,-2022
1168,962,-2660,4469,-10502,-1542,-1388,442,-3784,332,649,-2034
1586,700,-2756,4572,-10401,-1548,1490,458,-4176,229,260,384
1030,1354,-2850,4030,-10465,-1762,982,312,-3800,1306,264,33
2342,1314,-1426,2359,-9228,-2899,2558,-6216,-1200,4,20,1024
780,966,-2224,1240,-8205,-3291,-474,-6728,-3128,256,8218,513
-250,1538,-3936,3546,-8636,-4579,-558,-6600,-3786,3074,2954,2408
-1422,1892,-2976,3412,-2539,-8592,-1230,-6346,-3160,3093,9608,5157
-4644,2164,-2766,4391,3910,-14670,-5162,-6598,-2648,545,836,1047
-7384,2164,-4080,5916,4825,-19214,-9770,-6592,-4276,1569,4360,140
-6944,694,-4206,6573,5071,-22996,-10398,-584,-12236,24,1028,9248
-2464,-2074,-1144,8218,5628,-22024,-10270,-6678,-3784,132,4098,30
4430,-2282,-6592,10054,-1895,-20641,5652,-2498,48,1032,-3072,1800
4868,-5348,-4890,9231,-298,-8539,3034,-6722,-6328,8706,5192,2054
5362,-8212,-4888,8106,-5493,1063,5656,-4634,-8308,4353,-8184,1172
3882,-7838,-4872,10810,-2673,3203,2550,-6658,-5212,2612,-7035,2056
2818,-6160,-3630,15733,4777,7153,2514,-6722,-4280,1576,0,4204
5582,-5508,-8804,21542,9983,8566,9826,-6578,168,17412,9252,81
-7026,-8446,-4508,-3931,13319,9395,-10428,-6106,6450,-4088,9230,9352
-1682,-4040,-3304,3317,-9612,10930,-2508,-4490,-1878,3600,-10158,8726
-4000,-5526,-1632,3513,-4863,19785,-4366,-6582,-1428,3097,80,2066
1578,-2842,-4228,-1295,15440,20426,-2474,-3594,-4240,9488,11086,4352
-8476,-90,-4312,-3879,4220,19027,-10420,-2618,-8094,8230,1068,18501
-5158,1284,-3226,-4922,-3451,14632,-6078,-522,-4300,3072,12869,8234
-3816,-8,-3254,-3939,-8387,11290,-6520,-1790,-7224,8216,7776,8200
-1392,260,-2524,-3037,-6814,4073,-2462,-2084,-7286,9493,9344,19
634,-316,-3000,797,-10909,-1577,-2500,-1844,-3992,870,1097,-5883
1280,-48,-2062,2616,-11182,-2222,1532,120,-3992,2088,5186,-3932
548,1372,-2096,4212,-11116,-3576,-1230,-74,-2168,192,4200,-3936
840,870,-1976,5613,-11128,-4017,-910,502,-3800,5644,5153,34
1556,1122,-1810,7961,-12333,-4182,1562,966,-3488,6977,544,3456
2026,1768,-2786,7655,-14626,-2287,1506,-6600,-4238,7466,29,1570
2130,1252,-3666,6048,-15845,447,2262,712,-4056,1544,513,4
2848,706,-3374,2133,-13409,1098,3134,-6730,-3412,48,288,64
2854,40,-588,2129,-11613,495,3030,-6528,-4300,76,4098,128
2600,114,-2052,4679,-12238,-1050,2554,-66,-4018,672,133,-1952
2134,338,-1840,6917,-11218,-1709,2052,442,-2184,2696,1066,-2034
1976,1324,-2064,8148,-11906,-1668,2194,962,-4024,4673,16,-1924
2422,3142,-1592,7371,-11070,-1084,2290,-6554,-4040,4864,65,-1087
1958,1518,-3356,6738,-13777,-595,2290,760,-3270,4356,850,-1770
3284,-900,-2800,4193,-7828,-596,2040,-5704,-3268,0,8592,-715
1270,-126,-3496,4179,-11319,1311,118,54,-4256,18,4243,1041
416,672,-3652,3032,-12358,2582,-1414,-378,-3766,400,1429,528
756,886,-3686,2683,-11950,1389,986,-266,-182,600,4352,1226
2054,226,-2498,3148,-9510,-544,1524,-6442,-3800,1036,6912,0
1360,230,-2334,4357,-7469,-1926,1498,182,-4302,0,8472,66
1088,-200,-2456,4769,-7241,-1521,-1804,-6602,-3662,585,8788,552
906,592,-2808,5163,-9034,-1130,-1934,-6730,-3140,9,4,294
476,2232,-2936,4305,-9525,-1585,-2574,-6586,-3156,18,6860,385
1290,978,-2794,3194,-7925,-2213,1536,982,-2768,1089,8192,1040
2522,1530,-522,2360,-9532,-2943,2014,-6218,-2120,132,6144,1094
1664,150,-2164,2059,-9137,-2256,1908,-5924,-4180,96,7332,1604
348,1628,-3038,3445,-6397,-2628,468,1722,-3288,1132,720,1024
728,540,-3494,3996,-2581,-3777,902,-6116,-4134,40,4737,96
128,-150,-3176,6176,-2448,-5241,274,-6656,-4216,2093,8778,2322
-1390,-364,-3098,7855,-2192,-6105,-1290,-394,-3286,2567,8896,258
-2336,268,-4176,8653,-402,-8698,-10734,-584,-4312,520,9728,2080
-4866,1438,-2230,6909,-3634,-11868,-6280,-570,-4280,2704,8206,3588
-5390,-700,-5956,9169,8297,-16125,-9630,-6714,-16598,8576,2048,7464
-3886,-3020,-4226,9258,1620,-16422,-4162,-4650,-4264,1089,128,16
1894,-4354,-3022,8010,2270,-18047,1492,-5370,-4120,658,577,2832
3816,-5442,-6204,7687,-4963,-7352,3538,-6666,-8278,1410,-5996,9258
5640,-8104,-5464,7115,-10310,-2291,5590,-4360,-7804,3088,-12158,8200
3838,-7946,-5036,12591,-3511,-556,3558,-4362,-5336,4112,-2920,2576
2582,-6632,-2826,17499,5190,3047,2914,-6730,-3544,16513,5200,0
-8700,-1398,32429,32767,32767,1318,-10794,-6730,32551,19488,22150,9249
-4692,-11018,-5236,2022,5267,8064,-2582,-5630,176,2880,3105,4388
2644,-5970,336,-2016,-10689,14695,1618,-6730,-184,6296,1798,2546
32,-4526,-804,-520,-776,20120,-2350,-6440,-2772,8328,24,1796
-3054,138,-2386,-415,9439,18644,-9054,-6698,-6808,9872,1604,6
-4528,-742,-5054,-3346,6201,21269,-10286,-362,-7896,4096,164,4616
-5226,3124,-2756,-5388,8434,18378,-10482,-6178,-3754,2048,4420,17416
-7036,1878,-4494,-4686,-4337,12722,-10494,-6728,-212,2048,16456,4097
-1984,682,-2738,-4630,-6241,7426,-2028,-328,-8342,3600,18438,1041
-1748,-420,-2064,-1281,-6736,2597,-2588,-586,-3880,4996,8321,69
-738,-576,-286,949,-3697,-292,-2584,-578,-208,36,514,-4072
-1330,1146,-2816,2442,-6269,-2777,-1582,-432,-2730,408,1496,-3904
74,-180,-3150,3182,-11655,-3459,-1518,-72,-4196,1280,128,8
1632,424,-3130,5496,-13545,-4784,1496,-6714,-4052,386,2065,1296
1842,1200,-3674,6143,-14557,-3423,2024,758,-3800,1414,1327,8
1870,1688,-4388,5001,-13419,-1457,2002,-6730,-4312,256,472,161
2460,918,-3466,4420,-12793,-230,2548,694,-3720,26,1059,834
2776,456,-2494,5197,-12530,-51,2684,454,-2256,97,3732,164
2726,836,-2186,6364,-11646,-1202,1490,474,-2248,260,544,-1472
2810,754,-2152,7811,-10613,-1989,1650,480,-2200,2560,1232,-2008
2334,710,-1612,8863,-10040,-1739,1500,566,-1872,1,2052,-1664
1768,2090,286,9209,-10332,-1009,1626,-6078,424,817,2056,-1920
2766,1512,-1188,5755,-11477,32,1490,-466,-3864,5188,804,224
76,892,-3588,6227,-12163,1901,-508,694,-3406,4736,268,1280
2184,-636,-3136,3973,-9119,1900,1848,-6528,-3240,1537,4369,769
1032,-380,-3298,3626,-12595,3012,6,-324,-4136,1032,2692,216
604,666,-3060,2645,-11272,2972,-302,584,-4244,2049,4162,778
1120,346,-2718,2588,-10157,994,-814,4,-3276,0,2049,564
1068,638,-2296,3601,-8666,-543,-38,442,-2264,516,4102,-1920
950,122,-2508,3843,-8583,-1258,-1022,-58,-2446,292,4624,-2028
954,522,-3028,3827,-9247,-1036,-1294,266,-3268,3078,2579,-1135
1220,566,-3230,4203,-10492,-1227,-1002,734,-3156,0,728,784
800,1744,-3892,4743,-11493,-1211,-1508,-6730,-3800,33,4,256
1612,534,-3600,5330,-13007,-1352,1886,-6716,-4312,77,3266,537
2466,886,-2834,5161,-14224,-1680,2842,-6344,-3158,8,2176,260
2474,1276,-2960,4061,-12411,-1969,1494,1382,-4182,2324,10,1
2144,1228,-3702,4699,-11320,-1357,2004,-6718,-3454,528,38,722
2192,716,-2526,5184,-8692,-1778,1754,-6720,-2492,20,524,257
2374,640,-2392,6161,-9129,-1847,1490,-6578,-2358,2052,50,257
2376,522,-1632,6373,-9708,-1123,1618,-6698,-3736,2224,455,548
2660,462,-1066,6029,-9808,-1159,1748,-6718,-3216,1668,320,515
2154,1900,-644,6859,-9454,-884,1506,1866,-2718,2720,154,1036
1862,2072,-786,4548,-9049,-40,-1838,-6410,-3156,4100,7184,1216
596,732,-1844,1864,-4668,-893,-2348,-6730,-1734,72,2816,2066
1188,-464,-2042,1335,-876,-3401,-2506,-6528,-2258,1,7176,0
-2096,802,-3052,1309,354,-6087,-2602,-170,-3016,24,532,1859
-3286,256,-2934,1162,4994,-10719,-2478,440,208,78,56,5632
-5520,-122,-3372,1110,8889,-13549,-10454,-6730,72,1216,8385,513
-5808,-970,-5328,3571,7633,-15639,-10666,-1578,-5460,1539,5190,529
-4626,-2200,-5530,5687,6162,-16494,-6142,-5962,-5208,4210,1746,11800
-318,-4502,-4166,9944,4047,-16996,-2538,-6698,-4182,8320,2052,2177
1826,-5680,-6154,11418,-1781,-2926,3684,-6722,-8296,12400,-8121,21061
3210,-7834,-3470,8949,-12447,-11583,3564,-6666,-4298,8960,-13752,5536
5040,-8352,-2550,8961,-11198,-6241,3874,-5934,-2224,8704,-14296,8328
2636,-9332,-4116,11930,4309,1308,2514,-5816,-4120,4098,48,1126
750,-7462,-1646,15778,6406,3928,-1532,-7754,-2264,4105,6422,1
-6670,-4118,10844,-9185,5330,185,-1870,-5304,-136,-7102,4866,640
2122,-6310,180,5181,-117,8562,-2070,-5706,594,4488,1280,448
2766,-5810,1384,-816,3153,15263,-1322,-5656,1268,2209,546,4242
-3444,-4748,-5330,-4157,7594,16647,-10018,-4666,426,4105,6204,0
-3678,-3270,-3284,-4200,5403,20674,-10782,-6710,-3152,9268,1027,1
-2814,-1484,-2736,-5289,2945,18657,-2078,-1082,-3800,17,2668,1104
-4614,1838,-2742,-5658,722,18710,-6550,-6378,-3254,2460,548,18501
-7112,3552,-2762,-6270,-1919,15689,-10574,-4266,-7184,8260,17932,6704
-3090,1338,-4152,-9324,-8147,8732,-8076,-3004,-8208,4156,4608,132
-182,-142,-1974,-2572,-6310,2404,-2078,-306,-6348,8192,17,1792
996,448,-40,1420,-2916,-2898,-686,322,-204,1096,4361,-7286
754,1158,-1218,5040,-4056,-4755,-1126,-314,-3286,148,8325,-6144
318,1266,-1846,4844,-11624,-5783,-1478,1432,-4312,608,80,-5803
2282,220,-1992,7394,-9414,-4878,2516,-6710,-3800,194,7174,-4861
2366,544,-2916,8040,-8136,-2704,1564,470,-3856,7744,6,552
2106,-168,-3678,6816,-10433,-377,1498,-434,-3800,6144,1670,1289
2294,346,-2724,4956,-12363,1637,1506,-330,-3160,4352,3397,1162
2498,172,-2262,4260,-12335,1975,2646,182,-2196,192,4225,390
1954,1524,-2310,5848,-11865,933,2024,-6658,-2262,1537,464,5
1602,1830,-2348,7212,-12589,-385,1622,-6730,-2920,2064,2305,32
2514,708,-2206,7646,-11124,-1090,1666,-6692,-2136,2560,1228,640
2614,158,-2440,7230,-10225,-661,1862,-6630,-3268,2052,2065,1152
1916,474,-2910,6699,-10101,680,2018,-46,-3752,2378,2176,805
1052,778,-3304,4863,-10344,2306,98,-522,-3284,644,264,257
886,310,-3322,3682,-11719,2414,10,-202,-216,1076,244,2323
1150,204,-2860,3165,-11842,1812,-926,182,-3736,8,4552,1746
1376,-94,-2628,3087,-10229,541,1618,-6682,-4308,18,4228,338
980,258,-2330,3361,-8629,-210,-1338,-6432,-4312,3072,2598,-382
1332,-10,-2756,3721,-8776,-845,1506,-6730,-4312,2115,160,-864
394,2448,-2882,4405,-8632,-1091,-2470,-6578,-2728,270,7744,-1388
1076,280,-2990,4814,-8580,-1715,-1454,-38,-4272,130,6670,34
1712,-452,-2750,5151,-9426,-1823,2018,-6714,-3704,0,6688,206
2490,1380,-1296,4682,-11417,-1526,2778,-6570,-2248,202,65,544
3078,1470,-2048,3163,-10362,-1040,3078,950,-4012,2552,64,78
1980,884,-3602,3100,-9305,-108,2010,470,-4308,2052,2048,2
1698,1124,-2702,3843,-7743,135,1946,-6726,-3636,2309,8360,73
1966,158,-2728,5408,-8836,-934,1810,-6580,-3286,48,20,-988
2506,282,-2286,5754,-8331,-1479,2554,344,-4182,594,8194,0
1990,-106,-1724,5294,-6445,-1463,2028,-6522,-2168,1024,8978,560
-410,742,-2738,5721,-4998,-2413,-298,438,-4296,1024,10342,280
-2088,1904,-4256,5376,-2090,-7318,-2094,-6218,-4312,4358,8290,48
-6230,3262,-4176,6904,3065,-13628,-10788,-5538,-4216,2120,130,2060
-6424,2094,-6236,8899,4305,-18195,-6540,-6330,-6326,9000,4104,2109
-3912,-90,-6000,10866,2556,-19697,-23046,-6592,-16388,8196,2304,-19896
170,-1686,-5540,11455,-2339,-19423,-280,-5960,-8404,9231,-14816,1029
5312,-5146,-5842,8821,-567,-12251,3288,-6090,-8392,8578,16,4368
4052,-5778,-7222,10641,-4370,105,2074,-6450,-7960,2569,-7136,512
4220,-4998,-3438,15404,-3630,2828,3682,-6710,-3176,16,28,2856
2178,-5046,-942,19519,4745,3182,2306,-5696,-6256,16387,12,777
-5326,-17960,-3954,2066,9987,5279,-5292,-6218,-80,2817,46,84
-2674,-5066,582,490,-3989,10704,-2140,-6206,424,52,-8184,8196
4138,-7638,414,133,1071,12623,210,-10750,92,9,786,297
-3322,-5604,-1286,-1158,7626,12806,-10172,-6694,-4296,12608,2176,12666
-1076,-5464,-2406,-1518,3108,16082,-446,-5704,-3280,10281,2176,14336
-3998,-4166,-3890,-3279,2443,16203,-6574,-6490,-3608,4416,2056,769
-814,-1584,-2052,-5033,1096,17844,-556,-2630,-4276,2080,1118,17920
-3110,1638,-2460,-3633,-550,20601,-8004,-6216,-4120,4896,16450,20515
-8758,4252,-3770,-3736,-13894,12275,-8600,-4042,-7896,8192,1553,3715
210,1842,-3944,-6151,-11117,4692,-1540,-6668,-8152,10308,528,4166
394,-134,34,1379,-9769,-409,-2478,56,-56,1280,2616,-7168
1858,862,2578,2640,-3803,-5246,1490,-582,584,53,214,-5566
2224,718,312,3938,-3311,-5380,2276,474,428,3075,512,138
2770,840,132,4074,-7921,-3625,2514,568,-84,4166,201,652
976,150,-1176,5624,-8371,-785,-1066,86,-2246,5528,5898,1107
952,250,-3090,5460,-7615,103,-302,-18,-4120,5120,8736,72
1814,182,-3206,3712,-9319,-360,1490,80,-3186,3616,2616,1068
2174,308,-2002,3222,-10657,-729,2002,-314,-216,144,4688,198
2242,110,-1500,4893,-10434,-1721,1782,-54,-1432,194,5746,256
2100,1026,-1364,7173,-10417,-1424,1506,438,-2254,3072,1861,643
1650,1762,-2506,6822,-10534,-532,1498,-6596,-2516,4736,1796,522
2180,630,-2878,4893,-8694,-197,1490,-6714,-3792,4633,2057,6
2284,-76,-3316,3762,-8401,-15,1618,-6534,-3270,2176,2884,8
1776,568,-3076,3365,-9098,711,1562,448,-3152,2067,2062,594
1184,646,-2966,2960,-9627,1288,-846,440,-4180,2689,520,0
1182,468,-2666,3481,-9997,1109,-902,334,-3608,3328,0,1041
1244,2,-2212,4162,-9290,341,1554,-6682,-2168,78,923,21
980,166,-1928,4435,-8060,-240,-1042,-6648,-1998,320,8192,-367
798,40,-2080,4241,-6994,-691,-1068,-58,-2196,97,8412,-1024
1324,-24,-2392,3866,-7056,-1278,1554,-6692,-4040,1792,1028,-1324
304,1608,-2588,3900,-7494,-1331,-1578,-6680,-3796,786,552,-1356
1270,504,-2808,3611,-7877,-1651,1634,440,-4248,2052,32,266
1814,94,-2746,4161,-8271,-1686,2004,-6602,-3616,8,6147,64
2968,3026,-664,4166,-12458,-1102,3298,-5450,-2510,780,3193,320
1984,932,-1376,3551,-7563,-1399,1490,566,-3854,2400,8226,512
1682,346,-2622,4539,-6234,-1113,1490,286,-2744,160,9501,389
1598,-186,-1990,5233,-5587,-763,1494,-6662,-3968,1024,8202,266
1702,-120,-2126,5963,-6860,270,1874,-276,-3988,1,1156,272
1316,252,-2308,5729,-7659,795,1514,-74,-4184,1089,8739,257
1282,-374,-2210,6072,-7590,985,-1190,-6474,-4280,2176,8624,934
1126,1188,-1950,6588,-11862,644,1770,998,-3704,4162,96,642
1106,1044,-3206,5215,-9952,652,-2090,694,-3222,4184,2067,2
1112,418,-3692,4758,-7839,-560,-1534,-6728,-3798,4761,8484,2305
790,-224,-4566,5933,-9904,-1499,-2278,-154,-5314,4218,137,2178
-426,930,-4416,6213,-8962,-3489,-2254,-6724,-184,4132,144,386
-1150,920,-4430,6512,-5405,-5870,-2086,442,-4304,4353,10472,40
-2244,618,-4384,7391,-2816,-8933,-2604,470,-4308,2320,9360,32
-3644,844,-4740,9332,-1183,-11015,-4526,736,-8408,9422,6944,5184
-4950,410,-4328,9789,-1583,-14607,-5542,-6730,-5080,516,-1934,1536
-2880,-1262,-3104,9278,-1876,-17850,-2862,-6714,-3220,8202,13,8354
-798,-4546,-2206,7172,-852,-18273,-8616,-6698,-2216,4753,-11228,14336
1918,-8430,-394,6218,-205,-16820,1752,-8774,108,4873,-9704,16512
3728,-9436,-1770,5986,4353,-7475,1522,-5592,-164,5704,144,8833
3044,-9704,-3710,6875,-493,-2071,3102,-6554,-4156,4756,-3952,8342
2962,-10856,-4100,8300,-3343,4745,2514,-2624,-3796,8193,642,4640
2190,-8078,-2058,13692,2910,5617,2458,-6258,-1750,5163,2048,64
1330,-15040,-262,-8093,11874,543,-430,-6718,-62,8200,8265,128
-3078,-3876,330,-380,-4493,10775,-2602,-6468,24,-4080,516,8720
3066,-4578,1722,-2459,-43,13522,-1446,-6602,2600,1028,42,4176
-3680,-4078,-1364,-3460,1914,15645,-10796,-5962,-1732,8720,1301,14912
534,-844,-1254,-3923,6287,20730,-542,-4634,-3540,3106,4115,4136
-6520,682,-2028,-8430,12317,16870,-10794,854,-4310,4152,4672,16408
-6332,878,-2596,-9619,10151,14810,-10542,-1034,-2776,705,150,2304
-8082,2696,-4836,-9325,1373,8058,-10014,-6698,-6216,6208,616,4129
-304,-920,-3958,-9700,1506,5973,-284,-950,-8384,141,736,5173
-274,-1274,-2732,-3873,-2775,4653,-2602,-2376,-4180,4833,4456,4168
466,-1190,-2146,4021,-5889,1162,-2536,-1002,-4160,12,2096,1024
762,658,-2518,6506,-7476,-758,546,726,-3238,6410,215,-1848
100,2226,-2902,9596,-7547,-1345,36,-5930,-3794,9600,81,646
2316,1102,-3110,8828,-14689,-1251,1810,568,-4232,0,1028,-1387
3988,-240,-3326,7142,-13278,1137,3794,-6656,-168,384,1034,140
2950,1078,-3478,4900,-15064,1605,2522,-544,3922,4260,16392,1088
2314,828,-3938,3487,-18568,1627,2514,438,-88,1153,13508,48
2728,1592,-3250,4406,-18391,1869,1650,-6574,-4312,104,12580,1866
1830,730,-2616,5344,-14926,877,1618,470,-2136,328,36,740
1778,916,-2692,5958,-13899,-453,2018,502,-3782,514,2604,530
1748,362,-2470,6028,-13322,-476,1654,54,-2220,641,3076,516
1600,730,-2176,5991,-13328,-1027,1532,778,-2134,858,2048,240
1748,422,-2732,5027,-12446,-1128,1972,310,-3682,64,1920,264
2144,322,-3304,4501,-12115,-1717,2066,-6606,-4256,65,160,2
1344,1958,-3102,4622,-12514,-2218,1498,-6728,-4214,96,36,520
1790,810,-2386,4551,-10896,-2398,1496,-6538,-4184,68,4608,8
3008,-152,-1210,4065,-7764,-2322,3038,-6600,-2132,1602,1,32
1896,1714,-878,4001,-6602,-1536,1670,-6672,-2752,2064,653,-1854
832,1010,-1434,3250,-3754,-603,-1428,950,-3988,3329,4145,-1501
1878,554,-1672,3300,-5435,427,1554,-6698,-3708,2049,2057,167
2552,340,-1006,3441,-5067,-120,2650,-6474,-2008,1157,3136,-728
2500,296,-2070,4021,-5335,-583,2530,70,-3790,1611,8322,-716
2394,136,-1868,3823,-4944,-11,2534,-458,-2248,1920,10289,64
1380,1314,-2234,4187,-4611,1302,1590,570,-2200,72,11393,394
1058,1278,-2808,5011,-6669,1068,-806,-6730,-4312,436,8258,514
